taxon	order_in_fasta	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AVK60045|Schmallenberg_virus	366	AVK60045	Schmallenberg virus	PL_12_1018-8_bov	2012	Bos taurus	Poland	Europe	Simbu
AVK60046|Schmallenberg_virus	367	AVK60046	Schmallenberg virus	PL_13_130-6_ovis	2013	Ovis aries	Poland	Europe	Simbu
AVK60047|Schmallenberg_virus	368	AVK60047	Schmallenberg virus	PL_12_1016-32_bov	2012	Bos taurus	Poland	Europe	Simbu
YP_009666911|Schmallenberg_virus	678	YP_009666911	Schmallenberg virus	F6	2011	Bos taurus	Netherlands	Europe	Simbu
AXP32058|Sedlec_virus	434	AXP32058	Sedlec virus	Av 172	1984	Acrocephalus scirpaceus	Czech Republic: Sedlec	Europe	Simbu
APA28985|Serra_do_Navio_virus	285	APA28985	Serra do Navio virus	BeAr 103645	1966	Aedes fulvus	Brazil: Ampa	South America	California
YP_009666980|Serra_do_Navio_virus	691	YP_009666980	Serra do Navio virus	BeAr 103645	1966	Aedes fulvus	Brazil: Ampa	South America	California
YP_006590076|Shamonda_orthobunyavirus	645	YP_006590076	Shamonda orthobunyavirus	Ib An 5550	NA	NA	NA	Africa	Simbu
AXP33561|Shark_River_virus	445	AXP33561	Shark River virus	64U80	1964	sentinel hamster	Mexico	North America	Patois
AXP32062|Shokwe_virus	435	AXP32062	Shokwe virus	SAAr 4042	1962	Aedes cumminsii	"South Africa: Ndumu, Natal, Shokwe pan"	Africa	Bunyamwera
AHE76170|Shuni_orthobunyavirus	116	AHE76170	Shuni orthobunyavirus	SAE1809	2009	equine	South Africa	Africa	Simbu
AQM56672|Shuni_orthobunyavirus	300	AQM56672	Shuni orthobunyavirus	220681	2014	sheep	Israel	Asia	Simbu
AWL83658|Shuni_orthobunyavirus	380	AWL83658	Shuni orthobunyavirus	ISR-129/16	2016	sheep	Israel	Asia	Simbu
AWL83662|Shuni_orthobunyavirus	381	AWL83662	Shuni orthobunyavirus	ISR-242/16	2016	cattle	Israel	Asia	Simbu
AWL83666|Shuni_orthobunyavirus	382	AWL83666	Shuni orthobunyavirus	ISR-2067/16	2016	cattle	Israel	Asia	Simbu
AWL83670|Shuni_orthobunyavirus	383	AWL83670	Shuni orthobunyavirus	ISR-2162/16	2016	cattle	Israel	Asia	Simbu
YP_006590082|Simbu_orthobunyavirus	646	YP_006590082	Simbu orthobunyavirus	NA	NA	NA	NA	NA	Simbu
ABW87611|Snowshoe_hare_virus	11	ABW87611	Snowshoe hare virus	NA	1959	Lepus americanus	USA: Montana	North America	California
QCF29637|Snowshoe_hare_virus	477	QCF29637	Snowshoe hare virus	Mass Hockomock	1969	Ochlerotatus canadensis	"USA: Massachusetts, Hockomock Swamp"	North America	California
YP_010085080|Snowshoe_hare_virus	701	YP_010085080	Snowshoe hare virus	NA	1959	Lepus americanus	USA: Montana	North America	California
AEZ35264|Sororoca_virus	59	AEZ35264	Sororoca virus	BeAr32149	1961	Sabethini spp.	Brazil	South America	Wyeomyia
YP_009666895|Sororoca_virus	674	YP_009666895	Sororoca virus	BeAr32149	1961	NA	Brazil	South America	Wyeomyia
APA28981|South_River_virus	284	APA28981	South River virus	NJO-94F	1960	Anopheles crucians	USA: New Jersey	North America	California
ASY08211|Tacaiuma_orthobunyavirus	345	ASY08211	Tacaiuma orthobunyavirus	BeAn73	1955	Cebus apella	Brazil	South America	Anopheles A
ASY08212|Tacaiuma_orthobunyavirus	346	ASY08212	Tacaiuma orthobunyavirus	BeAr617554	1999	Haemagogus (Hag) janthinomys	Brazil	South America	Anopheles A
QLA46889|Tacaiuma_orthobunyavirus	560	QLA46889	Tacaiuma orthobunyavirus	SpH 32580	1975	Homo sapiens	Brazil	South America	Anopheles A
UEE94601|Tahyna_orthobunyavirus	637	UEE94601	Tahyna orthobunyavirus	Austria/OadD806/2019	2019	Aedes vexans	"Austria: Lower Austria, Rohrau"	Europe	California
UEE94602|Tahyna_orthobunyavirus	638	UEE94602	Tahyna orthobunyavirus	Austria/OadD823/2019	2019	Aedes vexans	"Austria: Lower Austria, Rohrau"	Europe	California
ACF72885|Tahyna_virus	14	ACF72885	Tahyna virus	XJ0625	2006	Culex sp. (mosquito)	China	Asia	California
ADQ08670|Tahyna_virus	41	ADQ08670	Tahyna virus	Prototype '92' Bardos	1958	Aedes caspius	Czechoslovakia	Europe	California
ADQ08671|Tahyna_virus	42	ADQ08671	Tahyna virus	Prototype '92' Bardos	1958	Aedes caspius	Czechoslovakia	Europe	California
ADQ08672|Tahyna_virus	43	ADQ08672	Tahyna virus	Souche D C14019-29	1968	NA	France	Europe	California
ADQ08673|Tahyna_virus	44	ADQ08673	Tahyna virus	22595-6	1984	NA	Czechoslovakia	Europe	California
